Names,Re,Re_err,Mstar,Mstar_err,SFR_tot,SFR_tot_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err
COS4_17628,4.360037149328982,0.024088603034966752,58884365535.55884,5888436553.555883,52.450047,5.245004699999999,56660177656.50592,4782070106.98787,7513189685.137862,709355679.4754508,66652719937.73927,4874246537.027666,125537085473.29811,88937919807.15547
COS4_17657,3.884981246571862,0.024030811834465128,20417379446.695316,2041737944.6695316,31.84986,3.1849860000000003,23579130087.02912,1943032152.7312286,3289682650.1070642,305143552.60432947,27954408011.671516,1984963677.985769,48371787458.36684,34616734547.80709
COS4_17808,3.3109563481755817,0.04345087071096564,52480746024.97734,5248074602.497734,91.56655,9.156655,66943567834.70306,6398999687.327249,8432255652.189901,896345616.7185851,78158467852.11563,6509100858.9331255,130639213877.09297,94143373640.041
COS4_18064,1.8677216716248584,0.026061232627323606,8912509381.33744,891250938.133744,22.908678,2.2908677999999996,13638061081.942495,1251442360.4130664,1853361455.7124918,190810700.86556366,16103031818.04011,1276914786.7222836,25015541199.37755,18404903075.13843
COS4_18435,2.7900763582444004,0.03465933364278758,23442288153.19918,2344228815.319918,25.880526,2.5880525999999997,29529810926.56841,2720826853.928275,3901833648.802614,402002252.3259127,34719249679.47588,2772861930.9143777,58161537832.675064,41892328321.10682
COS4_18969,5.020475675370242,0.060591947806192564,34673685045.2531,3467368504.52531,26.707481,2.6707481,41394901031.44599,3842182773.0591545,5383259629.438665,557681833.1399865,48554636338.59942,3913120536.0272593,83228321383.85251,59664203209.219574
COS4_19066,4.716431027846063,0.04845648316280202,20892961308.54041,2089296130.8540409,14.464424,1.4464424,21945514794.1212,1834448728.3352952,3049714764.7141876,286815292.141276,26001635431.19107,1873690790.5187469,46894596739.731476,33355672341.248608
COS4_19648,4.53490585118953,0.023951967523888368,42657951880.15934,4265795188.015934,43.436573,4.3436573,43233369121.73079,3596613798.986978,5829899054.625881,543639991.0518897,50987134864.38321,3668571844.5671983,93645086744.54254,66478483588.96878
COS4_19667,3.0118295731119384,0.023966813579140094,14454397707.45928,1445439770.745928,16.484999,1.6484999,16309380995.572332,1317240286.849967,2316260080.0229144,211053706.6713963,19390006902.002808,1346816715.8278465,33844404609.46209,24184746861.299183
COS4_19680,2.4615748012935565,0.04244094484988891,70794578438.41373,7079457843.8413725,128.86792,12.886792,99922696215.18953,9886580730.951197,11993074785.80995,1312662649.3054354,115873485680.31676,10039543838.079592,186668064118.73047,135788574703.39427
COS4_20449,3.466041950515844,0.06949457544893921,10964781961.43183,1096478196.143183,13.182568,1.3182568000000001,15787994924.933548,1472148060.7407298,2124350886.7257078,221979336.5274572,18613381604.27874,1501460006.8534002,29578163565.71057,21602879859.135517
COS4_20595,2.54527603333417,0.034747795676917,12022644346.174131,1202264434.6174133,17.782795,1.7782794999999998,17332993154.833424,1599916112.8201475,2322447111.730354,240110632.6073394,20421847813.434795,1631476069.31922,32444492159.608925,23698013528.346302
COS4_21570,2.274001708757639,0.03394032401130804,19952623149.688828,1995262314.9688828,17.782795,1.7782794999999998,29810379963.26694,2858155424.153591,3776304937.515207,402894137.9912068,34832865530.16217,2907952337.563412,54785488679.851,40142691633.66924
COS4_23070,2.0773095738278404,0.01567780810436106,2691534803.9269137,269153480.3926914,30.433987,3.0433986999999996,4790786458.841824,361404103.5268237,746753008.6911201,64358427.0657023,5783967960.401013,371402372.7253456,8475502764.327927,6379548962.716357
COS4_23890,7.961836745546322,0.047298040072552415,67608297539.19819,6760829753.919819,25.21822,2.521822,57265289380.219315,4721228299.286351,7587527372.731949,699721882.8151112,67356700785.952805,4812075336.559222,134964998325.151,95434831361.07658
COS4_24738,2.7113350641969225,0.13035264731715976,10471285480.508986,1047128548.0508986,14.125375,1.4125375,14913165737.365477,1425799357.3959394,2020973961.1329467,216713267.19190076,17601061105.672295,1454640697.753142,28072346586.181282,20480360633.053516
GS4_00984,4.543161605485583,0.14220769440564426,3019951720.402019,301995172.0402019,2.9519167,0.29519167,3490539648.948417,225355324.15206856,547840877.4442314,40448250.64918552,4219168015.949245,231687398.00047538,7239119736.351264,5188592019.07109
GS4_01962,1.5528136112709872,0.05176045370903291,2884031503.1266117,288403150.3126612,4.168694,0.41686940000000006,4092775256.5995717,349871173.6093165,602954344.0459691,58429995.45735213,4894704534.180711,358397790.9883698,7778736037.3073225,5681176831.252127
GS4_05881,6.824520221459772,0.10676144750779427,6025595860.743568,602559586.0743568,18.809767,1.8809767,8788094735.55374,735906114.2500738,1290391513.1953948,122438596.45559204,10504315448.103615,753708007.2457222,16529911308.847183,12109849235.65435
GS4_09989,2.3472202235362922,0.023472202235362925,4466835921.509635,446683592.15096354,12.604177,1.2604177,6189477596.208335,465167298.46081644,939564980.6134548,80373100.38383222,7439099020.42423,477291753.7085052,11905934941.933865,8677143388.544731
GS4_10566,1.620214670954282,0.016448879908165296,7943282347.242822,794328234.7242823,6.8495584,0.6849558400000001,9046959558.806015,721498322.3463514,1309094515.7130167,118068351.60334145,10788055264.704327,738389148.8236191,18731337611.947147,13396935128.690226
GS4_10784,2.8446015937563742,0.060523438165029225,12022644346.174131,1202264434.6174133,18.338367,1.8338367000000002,16305006462.788006,1497196363.6607053,2231261365.7343388,230071419.29722908,19272584079.214676,1528145897.43098,31295228425.38881,22715115543.729725
