Names,Re,Re_err,VRe,VRe_lerr,VRe_uerr,VRopt,VRopt_lerr,VRopt_uerr,VRout,VRout_lerr,VRout_uerr,Vdisp,Vdisp_lerr,Vdisp_uerr,Rot2disp_int,Rot2disp_pgc
COS4_19648,4.53490585118953,0.023951967523888368,288.4276537233265,47.68546759000662,47.68546759000662,246.74680547248175,30.43223874508,30.43223874508,246.74680547248175,30.43223874508,30.43223874508,29.82,15.343944538481622,15.343944538481622,8.346,9.741
COS4_19667,3.0118295731119384,0.023966813579140094,198.35497698393237,44.34639074695534,44.34639074695534,198.50842141459302,55.69756665854489,55.69756665854489,198.50842141459302,55.69756665854489,55.69756665854489,39.346,14.328894618916003,14.328894618916003,4.792,5.045
COS4_19680,2.4615748012935565,0.04244094484988891,131.06431786709885,20.466213310000004,20.466213310000004,112.86200574445529,20.359236198520556,20.359236198520556,112.86200574445529,20.359236198520556,20.359236198520556,55.542096255903054,12.896006591189384,12.896006591189384,2.32,2.755
COS4_20449,3.466041950515844,0.06949457544893921,81.01463931737972,18.915660387015386,18.915660387015386,82.02594180898161,24.57055146226482,24.57055146226482,82.02594180898161,24.57055146226482,24.57055146226482,34.399,12.255521245544802,12.255521245544802,2.008,2.646
COS4_20595,2.54527603333417,0.034747795676917,193.89823555162653,21.317136176876417,21.317136176876417,175.32276327487295,39.63451268762289,39.63451268762289,175.32276327487295,39.63451268762289,39.63451268762289,71.933,11.757357526247128,11.757357526247128,2.199,2.712
COS4_21570,2.274001708757639,0.03394032401130804,137.67116225032743,25.640019675788352,25.640019675788352,331.922046247168,36.63722462608792,36.63722462608792,331.922046247168,36.63722462608792,36.63722462608792,75.305,12.970352539541862,12.970352539541862,0.351,4.589
COS4_23070,2.0773095738278404,0.01567780810436106,153.94509061096136,20.598437458983472,20.598437458983472,156.10542068401108,22.205950154177074,22.205950154177074,137.02838737250298,21.482886216903104,21.482886216903104,72.109,14.996320615404299,14.996320615404299,1.264,2.215
COS4_23890,7.961836745546322,0.047298040072552415,366.31911756880066,62.88965369100088,62.88965369100088,366.31911756880066,62.88965369100088,62.88965369100088,366.31911756880066,62.88965369100088,62.88965369100088,17.436,13.661223371279748,13.661223371279748,21.49,21.547
COS4_24738,2.7113350641969225,0.13035264731715976,205.90885602834632,33.19190818110177,33.19190818110177,197.30852760716502,34.633986190628114,34.633986190628114,197.30852760716502,34.633986190628114,34.633986190628114,42.987,11.737091505138741,11.737091505138741,4.57,4.791
GS4_00984,4.543161605485583,0.14220769440564426,167.460005521973,25.98934304191648,25.98934304191648,167.460005521973,25.98934304191648,25.98934304191648,167.460005521973,25.98934304191648,25.98934304191648,16.981,14.794101324514443,14.794101324514443,9.861,9.862
GS4_01962,1.5528136112709872,0.05176045370903291,139.00581095467297,17.891154875876165,17.891154875876165,137.20081448735505,16.940246489953314,16.940246489953314,120.79758245877497,15.547518645602263,15.547518645602263,64.50543636392207,13.441924490191127,13.441924490191127,1.418,2.192
GS4_05881,6.824520221459772,0.10676144750779427,359.4376608655399,49.829631035226136,49.829631035226136,384.53334773146753,43.976908632770346,43.976908632770346,384.53334773146753,43.976908632770346,43.976908632770346,38.851,13.258445761098848,13.258445761098848,9.895,9.898
GS4_09989,2.3472202235362922,0.023472202235362925,122.32162811033321,18.788353205159936,18.788353205159936,100.9122079259821,18.30637838778755,18.30637838778755,100.9122079259821,18.30637838778755,18.30637838778755,53.583,13.905798970213828,13.905798970213828,1.655,2.583
GS4_10566,1.620214670954282,0.016448879908165296,166.34529130776826,20.44927664956101,20.44927664956101,145.10913109365634,19.906306696035028,19.906306696035028,145.10913109365634,19.906306696035028,19.906306696035028,101.0,13.141529286958958,13.141529286958958,0.373,1.668
GS4_10784,2.8446015937563742,0.060523438165029225,143.73165659534595,22.379543920447652,22.379543920447652,150.4170205841358,44.461449015105806,44.461449015105806,150.4170205841358,44.461449015105806,44.461449015105806,72.857,12.821406358118441,12.821406358118441,1.904,2.065
GS4_15836,3.119716718529021,0.034760074858262074,419.59468297717996,113.79613301680097,113.79613301680097,336.42824520431475,87.6846603601024,87.6846603601024,336.42824520431475,87.6846603601024,87.6846603601024,181.843,17.66069896691521,17.66069896691521,2.072,2.603
GS4_16776,1.9725890611652672,0.02606945895813128,182.50997692569945,39.740303528768926,39.740303528768926,191.00477529029772,32.91813205576869,32.91813205576869,211.83884997930824,46.27745711322429,46.27745711322429,45.8757693886435,12.037045858515285,12.037045858515285,4.623,4.719
GS4_16814,5.031352287356985,0.02606918283604656,188.72858592527933,30.2135899517665,30.2135899517665,183.11425066962093,38.26891789154544,38.26891789154544,183.11425066962093,38.26891789154544,38.26891789154544,125.78934317540576,16.596814182245943,16.596814182245943,1.596,2.692
GS4_17069,1.965587826470044,0.008189949276958515,130.84408569300078,19.2188946241382,19.2188946241382,127.90733312103846,16.859575702531597,16.859575702531597,127.90733312103846,16.859575702531597,16.859575702531597,65.292,12.610607122577406,12.610607122577406,1.373,2.111
GS4_20651,1.4973129248721262,0.017210493389334783,238.5697602315644,26.158255666354577,26.158255666354577,248.94860334281375,27.262758683189684,27.262758683189684,221.31398861420857,41.42870902955393,41.42870902955393,106.20736673602259,16.72922861341789,16.72922861341789,1.527,2.415
GS4_24110,4.907548516823255,0.00857963027416653,178.9758989073188,21.57165006560514,21.57165006560514,204.08272383431424,52.83010636978662,52.83010636978662,204.08272383431424,52.83010636978662,52.83010636978662,30.2764267128735,13.295058518111155,13.295058518111155,6.581,6.741
GS4_27230,2.3129439097589315,0.034650845090021434,134.63951882377086,17.135748570198803,17.135748570198803,99.98301960805334,10.894011859681603,10.894011859681603,99.98301960805334,10.894011859681603,10.894011859681603,37.575,12.974897610385986,12.974897610385986,2.574,3.873
GS4_29868,5.840959342988713,0.7184971695427507,154.21481473888912,42.746885254362034,42.746885254362034,154.21481473888912,42.746885254362034,42.746885254362034,154.21481473888912,42.746885254362034,42.746885254362034,57.427,13.71779082068246,13.71779082068246,2.645,4.568
GS4_30274,3.6261395292643095,0.04226269847627401,814.6246156995259,18.316915218051662,18.316915218051662,790.8943367943739,18.059326295384924,18.059326295384924,790.8943367943739,18.059326295384924,18.059326295384924,437.848,12.60668679709304,12.60668679709304,1.07,2.33
GS4_33103,31.862470969451063,0.14645671027837567,278.7172966112902,253.75595797036112,253.75595797036112,278.7172966112902,253.75595797036112,253.75595797036112,278.7172966112902,253.75595797036112,253.75595797036112,135.20975044167488,13.623950656839593,13.623950656839593,2.389,2.875
GS4_33234,2.3993888387250215,0.02490715057500022,110.02276060530973,16.904211097916136,16.904211097916136,109.07895932023152,16.555759254140536,16.555759254140536,109.07895932023152,16.555759254140536,16.555759254140536,42.901,12.671575829390754,12.671575829390754,1.981,2.824
GS4_33496,4.579546425951514,0.1042780969856132,69.56850064875542,16.9735745291588,16.9735745291588,69.77347573765748,17.09795377985978,17.09795377985978,69.77347573765748,17.09795377985978,17.09795377985978,37.733,11.893081013765945,11.893081013765945,0.996,1.902
GS4_35937,5.299187950538025,0.20123498546346932,80.56396914675264,18.76221860789501,18.76221860789501,80.56396914675264,18.76221860789501,18.76221860789501,80.56396914675264,18.76221860789501,18.76221860789501,42.241,12.376275409023508,12.376275409023508,0.449,1.907
GS4_37124,3.0511482462386557,0.07482379895408146,412.68579368012865,47.87907200669398,47.87907200669398,438.75124380047197,109.99275538720583,109.99275538720583,438.75124380047197,109.99275538720583,109.99275538720583,174.012,15.298962317752142,15.298962317752142,1.839,2.521
GS4_41438,2.7421382082777757,0.042845909504340245,132.15119530802806,21.131844926242717,21.131844926242717,106.56686310726944,26.54775214311676,26.54775214311676,106.56686310726944,26.54775214311676,26.54775214311676,48.522,14.075133036671447,14.075133036671447,1.599,2.801
GS4_42235,3.1425729173368984,0.09145053463149704,310.2573473161877,57.98078064925396,57.98078064925396,307.0541625810666,58.47700669005846,58.47700669005846,307.0541625810666,58.47700669005846,58.47700669005846,130.543,13.029149550143323,13.029149550143323,2.3,2.695
GS4_43501,5.083532014794383,0.05213878989532702,352.2220242113358,40.57860722780203,40.57860722780203,265.08005716878415,84.56079577115581,84.56079577115581,265.08005716878415,84.56079577115581,84.56079577115581,181.60040325120426,13.060935839364651,13.060935839364651,1.422,1.954
GS4_43891,6.529383668875305,0.05785529833180649,339.9805119020982,71.0917887083858,71.0917887083858,339.9805119020982,71.0917887083858,71.0917887083858,339.9805119020982,71.0917887083858,71.0917887083858,52.026,12.995944790587561,12.995944790587561,6.5,6.842
U4_06203,4.7941382694023424,0.054127367557768376,181.98590110055227,17.34058214487004,17.34058214487004,189.72369236825358,17.174255522778036,17.174255522778036,189.72369236825358,17.174255522778036,17.174255522778036,39.95223653314042,14.024898698386382,14.024898698386382,4.569,4.749
U4_07799,5.435157077073637,0.09304120531367138,207.55805033088964,33.90709552445997,33.90709552445997,207.55805033088964,33.90709552445997,33.90709552445997,207.55805033088964,33.90709552445997,33.90709552445997,46.329,13.77367997305005,13.77367997305005,4.421,4.514
U4_10403,2.1140161359460845,0.03465600222862433,116.60133699382594,20.140057480419408,20.140057480419408,115.33697515307561,21.937398397194897,21.937398397194897,108.37104742045305,21.38329355405336,21.38329355405336,48.709041383504974,12.828882843022615,12.828882843022615,1.792,2.403
U4_12280,2.4347031626551257,0.030721806468834396,514.5291440037217,70.8698856902391,70.8698856902391,506.39937932352524,99.12370712754868,99.12370712754868,506.39937932352524,99.12370712754868,99.12370712754868,257.88670147275917,30.647078784119053,30.647078784119053,1.838,2.434
U4_16101,0.7035520761346655,0.02605748430128391,1108.2602119834137,98.78788885067408,98.78788885067408,1058.2524304682383,74.46319461065454,74.46319461065454,1006.5128554695196,49.92444032394239,49.92444032394239,418.7845242603886,56.62002518544124,56.62002518544124,1.822,2.653
U4_18696,2.548909325077399,0.04824434053774257,122.09724207930665,16.999193818955543,16.999193818955543,141.97969119285082,20.02881903231368,20.02881903231368,141.97969119285082,20.02881903231368,20.02881903231368,64.9104259730284,13.140134930814066,13.140134930814066,1.649,2.189
U4_19575,3.3123918701810418,0.032003786185324075,151.1505709772862,23.15972758039546,23.15972758039546,121.16182284448935,32.70555638446096,32.70555638446096,121.16182284448935,32.70555638446096,32.70555638446096,57.47558753070734,13.238075426586752,13.238075426586752,1.563,2.852
U4_19708,6.853139566126949,0.10423025956086616,437.1081509494034,156.20014207605834,156.20014207605834,437.1081509494034,156.20014207605834,156.20014207605834,437.1081509494034,156.20014207605834,156.20014207605834,128.0016605068075,18.700498870351026,18.700498870351026,3.766,3.907
U4_20987,2.7012494103176525,0.048236596612815215,95.98550494834446,19.607803958270058,19.607803958270058,105.4717133312948,20.989232570023077,20.989232570023077,105.4717133312948,20.989232570023077,20.989232570023077,59.599,13.346716187886818,13.346716187886818,0.975,1.852
