Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
C-HiZ_z1_275,0.850856041,2.456358,0.7369074,7.979484821,3.31772244,8260952882,3806890729,31750051539,24899419636,2673979260,998690452.8,4207582967,2059589503,4945171903,2592250121,2998414297,2674973611,5219244820,4219445702,7062489427,4997602505,131.4321481,21.13764721,133.4187265,22.52036254,131.0841929,19.77334279,6.810973441
C-HiZ_z1_277,0.838362987,4.153598,1.2460794,15.03135378,6.359772177,10691297668,4926865285,34126639057,25758863947,3460655040,1292501853,5445439843,2665513866,6400024985,3354881461,3683050828,3460880948,6155615963,5448290986,7926595360,6413524020,65.93706769,18.23837591,83.56992498,25.69504846,90.49048446,30.68620277,5.644968708
C-HiZ_z1_285,0.833803936,1.5820578,0.4746174,19.3449039,8.1678623,4886864122,2252011116,23807706252,19541742702,1581823973,590787081.5,2489045336,1218374447,2925374772,1533476130,1600558118,1581828095,2553507057,2489108518,3076307364,2925747845,105.7800099,26.73245375,104.6515403,22.7576249,129.9438899,26.42856669,4.266686284
C-HiZ_z1_289,0.842692497,3.7175689,1.1152707,9.80900052,4.070152815,11298745024,5206794942,36761441495,27856965928,3657279044,1365937901,5754833346,2816960332,6763655142,3545495725,4153916622,3658875755,7263749597,5772625335,9833449772,6836746828,96.35709474,23.89868512,97.61934722,22.77156247,112.4580339,28.15617997,5.654108267
C-HiZ_z1_297,0.840623489,3.7084405,1.1125323,6.657541363,2.770262357,22337271401,10293673457,54489846124,39150245911,7230328184,2700417077,11377128525,5569043866,13371538189,7009335977,8507733608,7236431932,14993343761,11434500106,20197083794,13569204578,164.3534327,27.35576544,160.2256141,31.6317467,160.2256141,31.6317467,5.64975326
C-HiZ_z1_314,0.834880299,1.7687768,0.53063303,6.21454018,2.590001579,10023757306,4619242998,36785705017,28577570852,3244579593,1211800982,5105438938,2499085235,6000421950,3145410279,3602609538,3245864274,6225532034,5121096368,8352490052,6071214605,231.2961429,34.94238815,208.061856,30.93398955,186.5670997,29.334539,5.783422514
C-HiZ_z1_317,0.853780219,3.9519444,1.1855834,12.15384351,5.089801014,19634975527,9048375819,51638839555,37547031529,6355624838,2373728823,10000757753,4895317737,11753889738,6161367617,6872454290,6356880878,11595206589,10015531519,15051306316,11818303834,142.7931513,24.44349129,159.3679907,26.4248121,159.3679907,26.4248121,5.823958151
C-HiZ_z1_319,0.840024327,7.07452,2.1223562,47.95007082,20.56022645,13584088881,6259948793,38791973353,28635029427,4397019623,1642219663,6918836339,3386733584,8131707762,4262626411,4468706308,4397038056,7159547721,6919102462,8679537895,8133174799,170.0559425,37.31419896,167.6418802,52.76560526,167.6418802,52.76560526,5.648487779
C-HiZ_z1_340,0.835543867,2.2292604,0.6687782,5.561938432,2.311188312,17101354747,7880808639,45481699863,33134578963,5535519759,2067432047,8710298918,4263644973,10237213578,5366328724,6120233779,5536862727,10478902147,8725159568,13818437435,10298102046,173.0594208,21.54794039,195.2268599,20.89075631,172.8938951,44.92448078,5.784879227
C-HiZ_z1_90,0.854808919,2.5611658,0.76834977,11.30884391,4.752891049,3673080745,1692663938,21615247766,18314280755,1188935692,444049331.3,1870824371,915758583.7,2198779724,1152596332,1326061229,1189300056,2313537043,1875552409,3162052797,2221726291,67.39871731,24.22652735,81.81633825,21.84877451,81.81633825,21.84877451,4.26274145
C-zcos_z1_1015,0.888594701,7.291261,2.1873784,30.84376682,12.91119439,28643778434,13199897896,61874617239,43872026288,9271674896,3462829026,14589246056,7141358378,17146739650,8988289736,9525333474,9271825180,15408229934,14591224940,18929009703,17156567042,173.2119622,35.53785826,245.818926,27.56325323,223.9783764,54.96379243,4.312143252
C-zcos_z1_1021,0.927272553,3.6876013,1.1062804,7.630954721,3.178042284,7603789464,3504050444,29969302785,23622739052,2461262715,919244065.2,3872867391,1895748005,4551780715,2386035175,3132096583,2465449462,5831988872,3914426383,8372368193,4701859458,121.0218443,19.93679074,87.59266849,21.27522805,87.59266849,21.27522805,4.363552347
C-zcos_z1_156,0.868009194,2.1255233,0.63765705,11.13990265,4.656607649,6808171857,3137406386,28833540333,23053591055,2203730079,823059521.3,3467632409,1697387618,4075508076,2136373917,2327107565,2203898971,3871773333,3469921192,4969412450,4087210198,106.8802788,26.75862525,115.7915951,25.33229445,112.1978623,24.3719949,5.85319833
C-zcos_z1_162,0.960409965,5.1750646,1.5525194,10.04240426,4.170816691,39176927127,18053883469,79387933479,56140508111,12681138858,4736211840,19954135272,9767443163,23452093489,12293544764,14180052121,12686884747,24232217084,20010139395,31591929541,23652181991,147.4485737,19.22522815,162.9437903,29.74573004,137.6765298,41.79899543,6.018528821
C-zcos_z1_166,0.923378805,2.7665849,0.8299755,10.87684775,4.650251471,6745752740,3108641815,28708781056,22975634765,2183525699,815513517.2,3435840239,1681825532,4038142741,2116787081,2395336334,2184031422,4111262660,3442226741,5487400459,4068239520,69.33785381,24.39208124,76.23306556,19.44092913,81.34499237,24.16852463,5.957142754
C-zcos_z1_189,0.937734239,4.3405485,1.3021647,15.45702516,6.664412474,14758078400,6800957788,44387002974,33100967500,4777027072,1784146622,7516788945,3679428194,8834481409,4631019075,5150648900,4777926012,8689708041,7527836427,11307194700,8885010575,70.16975295,17.7261708,124.4015007,42.37038391,124.4015007,42.37038391,4.414755328
C-zcos_z1_192,0.914106107,3.5357754,1.0607326,8.645509554,3.586858302,9750575921,4493352959,36054440146,28052932181,3156153794,1178775295,4966298410,2430976686,5836890100,3059687180,3828724429,3160769788,6964070530,5015391284,9801121118,6027121488,93.42240969,19.10851981,115.7857634,24.91583435,133.795573,33.29329887,4.384573306
C-zcos_z1_197,0.837415524,3.6033008,1.0809903,6.854073412,2.860361567,3990529605,1838953735,21411909212,17872570994,1291690384,482426636.2,2032511822,994903729.5,2388810972,1252210366,1848696908,1295636338,3649497582,2069774537,5523070685,2515986778,57.05467137,18.78892274,94.73390666,25.30279503,94.73390666,25.30279503,4.272531896
C-zcos_z1_198,0.959129558,5.584179,1.6752537,25.15306573,10.84511882,14224277281,6554966489,42305194597,31478055555,4604241542,1719613962,7244905964,3546342969,8514937364,4463514685,4816629979,4604498636,7931040706,7248286030,10008866205,8531645448,90.95177169,17.17077859,76.13587961,16.26302875,76.13587961,16.26302875,4.440462427
C-zcos_z1_2,0.896927556,6.1939964,1.858199,9.013051298,3.746147909,17580451641,8101590618,46167407867,33560189900,5690598135,2125351530,8954319185,4383091635,10524010577,5516667203,7202423078,5699517719,13080422127,9029817055,18029269935,10759986579,195.4414902,39.62077023,224.4377224,40.01265173,224.4377224,40.01265173,4.361398541
C-zcos_z1_200,0.955678747,3.176221,0.9528663,10.5911487,4.44307555,4416009703,2035027513,24336830050,20404416801,1429413595,533864167.1,2249223240,1100982823,2643511883,1385724123,1708155808,1430962712,3118051735,2267698227,4460770879,2724631002,90.66291793,23.58957972,64.37217376,10.52482797,70.49558502,18.56932404,4.436417614
C-zcos_z1_202,0.840891432,3.161079,0.9483237,14.25959885,5.941472657,18924743322,8721079872,54447589878,40249453875,6125730513,2287866878,9639012448,4718245371,11328730511,5938499937,6458723628,6126445736,10705463736,9648357742,13627128919,11374527869,151.5400747,29.22930396,143.7827343,23.29758023,162.552395,32.06223202,4.278107115
