Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
cdfs_27038,1.35802218448,5.198524142560242,0.519852401388085,10.987160741083242,4.686116342452273,7974000128.0,797400012.8,112029609189.23274,104360694014.29564,2581095820.7799435,2100702850.45346,4061428215.0515127,3553508007.0825105,4773396235.999262,4260155896.897614,4948454563.384944,2633180191.5809736,11191337772.145678,4376047943.432732,19141385875.273224,5743074999.558297,105.63584851819712,17.15221949138233,104.06574466987637,18.087255087779727,104.06574466987637,18.087255087779727,5.963275889739158
cdfs_27397,1.40162602369,3.72755850388985,0.3727558439411981,4.7110304136257986,1.956261198413185,27220000768.0,2722000076.8,68350833211.47271,49322143295.91677,8810813781.806808,7170947107.85693,13864067890.42869,12130234400.24476,16294437813.416126,14542443556.09077,11763264313.53911,8869522695.691238,21554070195.416615,14119625205.564863,29646719977.254036,16869796423.76784,181.15235575948608,26.82487929987496,164.70846019657378,16.840545752874945,164.70846019657378,16.840545752874945,5.976884484343214
cdfs_36243,1.35694797206,7.019998559615456,0.7019998430952874,8.977795837296004,3.7597718277805114,117500002304.0,11750000230.4,155590353488.47293,123519736863.37128,38033453727.138954,30954675900.70056,59846728989.93003,52362326590.98679,70337855495.93338,62775058896.061516,41903121765.84657,38092093107.17904,69454146519.96878,60097560556.29479,86181867768.48126,70885225370.98485,247.2299599023441,21.521002305713324,224.37190576384387,9.236233626351696,224.37190576384387,9.236233626351696,5.939052796635024
cdfs_38684,1.5544337832,3.7636414625994665,0.3763641397866917,3.818504624503802,1.5890560440498889,41359998976.0,4135999897.6,73782352217.26035,52553387188.60837,13387775117.98108,10896045432.276146,21066047669.823673,18431538141.655495,24758924036.095997,22096819750.82924,17283037933.372414,13489234725.583467,30292418979.101727,21435004101.523766,39385852857.66178,25462542465.432552,263.1278007936009,42.16424006966292,279.55897854052074,34.470931145633465,279.55897854052074,34.470931145633465,5.846769166626354
cdfs_39901,1.32742338595,4.838403117668824,0.4838403246088166,5.147935070084416,2.1400302720221944,49579999232.0,4957999923.2,99595209740.44415,70425120561.1258,16048498464.732906,13061555487.131842,25252772078.094097,22094672832.01881,29679580877.33744,26488402634.809597,21352563079.05879,16189703430.961533,38130204952.26044,25774911550.57384,50576745169.16088,30675997846.381462,163.10781659284484,33.01522991583364,150.96955251670852,40.363912429863575,150.96955251670852,40.363912429863575,5.799152630141999
cdfs_41128,1.34226159175,5.53454794727466,0.5534547818728547,8.996898845419608,3.823358919856574,37669998592.0,3766999859.2,85523997546.6138,60901839133.7196,12193362725.589056,9923936811.54722,19186605553.876858,16787138132.501432,22550015876.943604,20125415608.178017,14581822649.242638,12232467312.382912,25757859352.405685,19405798891.312683,34591467688.451805,23197619334.6204,374.5062442536754,52.10439473115692,266.8091150402646,27.587719146016045,266.8091150402646,27.587719146016045,6.285137201219538
cdfs_41280,1.57858484071,4.749916289195397,0.4749916289195396,5.72501761777106,2.391326764478455,8191000064.0,819100006.4,95303583563.94344,87496826720.07635,2651336304.7187862,2157870185.5522857,4171953628.719374,3650211164.3556185,4903296745.29036,4376089372.504849,8261211301.09341,2952508346.0896583,19100893341.68544,5381636284.901711,31367568519.827778,7423648364.362838,139.29093497323328,25.19229600543002,183.9891132056276,46.17475799566666,183.9891132056276,46.17475799566666,5.847505461972436
cdfs_45136,1.55010759767,4.6861325517578845,0.4686132616496822,5.3854175783624365,2.247259269126161,15530000384.0,1553000038.4,117782705746.90874,103425319269.32043,5026889697.066896,4091286106.4139514,7909954944.427414,6920739875.189356,9296569373.976902,8296992930.7900095,13002647422.799072,5561859544.975057,28408343749.284584,9883137245.546177,44439854725.133064,13024635992.647228,223.0565368072542,18.766673018178835,228.90349397701397,16.989552193259552,228.90349397701397,16.989552193259552,4.308138961145172
uds_67671,1.46790605836,5.554544347182258,0.5554544088626779,6.337078387285919,2.643294215791336,35379998720.0,3537999872.0,75870067720.09111,53769787028.21261,11452115045.08666,9320650005.611158,18020231093.968502,15766629897.950542,21179176073.33486,18901969875.703876,15210257429.77065,11550898669.078043,27382448883.626656,18404424488.100636,36744626512.66407,21943516553.013615,190.90775644000453,30.9206359416496,194.41537829699115,34.257091107045994,194.41537829699115,34.257091107045994,5.975992660398478
uds_71136,1.37911073736,2.507865208692005,0.2507865240903974,3.587033386550305,1.4899667407352708,452099997696.0,45209999769.6,467393350786.4924,452358590683.8442,146339778768.0306,119103051754.32933,230269834109.94733,201472402083.29233,270636116460.48898,241537050365.47906,148127660728.68976,146341253311.59604,234728300711.24542,230278401625.27722,277973850994.21405,270662665879.9902,344.060502722743,52.68944918284379,385.1066565585125,81.79175332089963,344.76087267948583,42.53071648759309,5.954923010316777
uds_78317,1.4709762516,4.165660651351976,0.4165660716000633,5.5235325962354285,2.296329127749531,30990000128.0,3099000012.8,87946587707.87259,64841599121.83795,10031120959.664816,8164130959.609039,15784256193.118187,13810284887.562431,18551234962.384476,16556587612.723043,14050475244.99109,10154016778.843203,26287562543.49932,16320323142.40568,36837129514.079735,19740773711.86301,189.48111625993525,21.99231071647187,173.02117953605222,29.58637346129374,173.02117953605222,29.58637346129374,5.976496546118
