KID,Name,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,Mgas,Mgas_err,Mbar,Mbar_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err
KROSS,E-zmvvd_z1_73,E-zmvvd_z1_73,0.890048200568837,0.550440013408661,62.6021434902172,4.6029487,1.3808848,13.378725862218449,5.585099300943003,31.849110102592924,1.592455505129646,53092153360.3389,24466430119.971844,10270002747.622929,2094731958.2368565,63362156107.96182,54076332206.18728,206.24911565767587,30.019019699582024,207.79604692855855,41.46817612027052,245.4637555774677,48.05779056518914
KROSS,E-zmvvd_z1_77,E-zmvvd_z1_77,0.837461575294847,0.549914002418518,25.1491808073804,3.148276,0.94448286,9.143698166191786,3.808812344027185,12.1074384949772,0.6053719247488599,25646610095.84,11818714329.880184,5168574714.174975,1054213743.0589708,30815184810.014977,26162239468.058758,100.80118049059332,20.123216328347915,97.7563310446973,15.352690059322102,97.2643713028895,24.85532800850399
KROSS,E-zmvvd_z1_83,E-zmvvd_z1_83,0.832684902443552,0.91650801897049,64.2409274850254,1.4549465,0.43648398,9.602917371611689,4.0355684699525405,10.154597763213598,0.5077298881606799,1892474267.29787,872107957.2801244,2437562104.909881,497179506.4337781,4330036372.207751,3085963037.315467,76.30529015519924,29.62623316102301,76.63057259336426,25.309362291154887,77.15552607785943,24.08006418374012
KROSS,S-CFHIZELS-SM14-104965,S-CFHIZELS-SM14-104965,0.807194468895849,0.952870011329651,49.8116138436711,2.9492457,1.3595351,15.243309879982663,6.359516288243087,6.972461974723754,0.3486230987361877,12735906827.1507,5869081487.166222,3233369344.6963773,659497494.8168132,15969276171.847076,13139939118.165125,139.53656275121295,21.59600621454288,148.4387625325505,36.00543554816028,158.7833097407618,26.962620260206045
KROSS,S-CFHIZELS-SM14-107086,S-CFHIZELS-SM14-107086,0.806315500287334,0.523515999317169,63.5079138636994,3.730886,1.7198534,23.973153259636753,10.207056207081301,4.091206098236304,0.2045603049118152,22963093588.1878,10582070777.96673,2864761508.718412,584314064.7944213,25827855096.90621,23141100355.032955,97.87386706684433,15.44359511653373,109.66857637840556,15.355828842619657,96.62955692941972,11.292236969851118
KROSS,S-CFHIZELS-SM14-117442,S-CFHIZELS-SM14-117442,0.807887161312526,0.952870011329651,25.8286905120437,2.0932713,0.9649504,13.295838648351108,5.5278213151960855,5.559508141760817,0.2779754070880408,10399923544.0735,4792591494.964746,2735598384.6181183,557969110.2488568,13135521928.691618,10753692772.461912,103.30245215618508,13.802324206511129,103.41930176569257,10.054447964894488,109.18623417834252,10.928106645442176
KROSS,S-CFHIZELS-SM14-118544,S-CFHIZELS-SM14-118544,0.804719591418289,0.523515999317169,61.8612943513023,2.9401493,1.3553419,10.289430319705993,4.284035823572912,9.063234073111092,0.4531617036555546,7745157732.42143,3569197111.714945,3250314213.149564,662953604.3564187,10995471945.570992,8399524437.983946,122.2424463844524,25.50793126960389,106.34560565127924,19.188286932072057,109.45006827644634,19.92566544637387
KROSS,S-CFHIZELS-SM14-138499,S-CFHIZELS-SM14-138499,0.821986949852993,0.49601998925209,59.5380868080326,2.1297607,0.98177123,11.615302690407141,4.824759045210669,27.50913241400199,1.375456620700099,10790225303.8925,4972454057.093318,6274745908.825386,1279834955.699771,17064971212.717886,12482043035.05972,105.3777095733754,24.72986493178073,121.32207120691756,21.989734569230595,134.48778237713228,20.772097379389614
KROSS,S-CFHIZELS-SM14-139428,S-CFHIZELS-SM14-139428,0.807658416279076,0.952870011329651,72.9889446065206,3.7371938,1.7227613,18.232927685005865,7.641033672004525,9.857655785034106,0.4928827892517052,3917692578.25506,1805388284.910166,2852334640.265408,581779172.0787508,6770027218.520468,4846042512.996844,83.51613084452197,25.12237567248837,92.22230851248617,19.688677677603646,84.92017520150003,18.98462281770248
KROSS,S-CFHIZELS-SM14-145965,S-CFHIZELS-SM14-145965,0.819211656706864,0.607738018035889,60.8642082661409,4.7825093,2.869506,13.696000188370585,5.731270422390088,10.84899588674331,0.5424497943371656,10790225303.8925,4972454057.093318,3900014529.6115904,795470444.4567795,14690239833.50409,11473407316.047989,160.3161665945132,23.531743332239724,208.40753202299112,39.48265132394429,233.28689152111147,23.880233462731304
KROSS,S-CFHIZELS-SM14-148830,S-CFHIZELS-SM14-148830,0.813597441853921,0.523515999317169,41.8173038031045,2.1080093,0.9717443,17.879913230056513,7.508616325624143,12.27605720565328,0.613802860282664,12162705134.4898,5604933241.700369,4273894544.5637417,871729279.8653902,16436599679.05354,12891763679.442633,110.8475129114196,30.31124193985201,139.95384259684988,24.15112529568284,146.3750470788963,21.159449060274216
KROSS,S-CFHIZELS-SM14-159913,S-CFHIZELS-SM14-159913,0.817644399892333,0.607738018035889,53.0,2.9499652,1.7699791,14.370368196099788,6.038845370195149,11.111337768000928,0.5555668884000463,2612342630.12998,1203844530.0138156,2747469475.213685,560390141.5804691,5359812105.343664,3791163744.079828,91.64445493241531,22.07483088131921,106.99786776869396,26.511459429198798,142.95327925476474,17.194780595043547
KROSS,S-CFHIZELS-SM14-164290,S-CFHIZELS-SM14-164290,0.816475811844697,0.607738018035889,36.7646393909787,2.7790155,0.0,6.553289230638442,2.730193909972109,8.75472916469385,0.4377364582346925,9840798965.20449,4534930398.711747,3411217078.1668897,695772360.1798885,13252016043.37138,10415264097.849234,100.51807300768144,27.31485065218903,108.7857866743512,17.959677803531033,119.02362750187272,33.30446257470486
KROSS,S-CFHIZELS-SM14-216212,S-CFHIZELS-SM14-216212,0.811673943596318,1.03668010234833,53.0,2.7626717,0.0,13.681680526601038,5.778063188563522,6.422368536265425,0.3211184268132712,2094258215.21572,965095951.7123132,1956906439.8571715,399142164.67202085,4051164655.072891,2866251957.932694,35.27819636904483,20.11014547168611,37.91440642676933,19.73995720058197,52.08268909577166,19.77574829509273
KROSS,S-CFHIZELS-SM14-228100,S-CFHIZELS-SM14-228100,0.816892455225771,0.754360020160675,53.0,2.1381419,1.2828851,8.821590810240187,3.68060583765525,10.55660304882961,0.5278301524414805,1945495621.74572,896541761.1731428,2481675657.248176,506177163.101553,4427171278.9938965,3153358096.0636125,68.45185000516899,24.01119751536809,65.52803838135662,21.434010045115237,58.3645935734857,14.894221550387178
