KID,Names,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,Vmax,Vmax_err,VRe_int,VRe_int_err,VRopt_int,VRopt_int_err,VRout_int,VRout_int_err,Vmax_int,Vmax_int_err,Rot2disp_int,Fdm_Rout,Fdm_Rout_err
KROSS,S-zvvd_z1_186,S-zvvd_z1_186,0.82246993800909,0.523515999317169,63.4407191956815,3.8056493,1.7543176,10.864709093616296,4.55117049591067,8.885474690139668,0.4442737345069834,53092153360.3389,24466430119.971844,5291175210.719161,1079220202.1705434,761989360698.3116,136694460049.66835,121.39906781261104,17.414106295152653,141.19207210521245,22.162353533069627,141.19207210521245,22.162353533069627,149.21985504198437,27.693557394377656,95.58702889290105,14.072918262576728,119.0290426096864,21.621029221538613,119.0290426096864,21.621029221538613,141.014,28.22196945643589,3.09,0.3609638086450804,0.3254779874023587
KROSS,S-zvvd_z1_206,S-zvvd_z1_206,0.807419542626825,0.523515999317169,67.4843615166447,5.2066064,2.400127,10.79043074593593,4.544014959030262,6.797945667114167,0.3398972833557083,29176318343.3431,13445307992.32401,3947781503.508578,805213470.1021518,130810373889.31543,48012027759.2008,131.66753971553518,19.95455185683045,99.42332781992444,22.299085398375464,99.42332781992444,22.299085398375464,134.913155309602,22.299085398375464,67.50067129979021,13.814199516145036,81.832,22.044328068689232,81.832,22.044328068689232,81.832,22.044328068689232,1.343,0.4585621821484976,0.2792644207494285
KROSS,S-zvvd_z1_450,S-zvvd_z1_450,0.840096996029634,0.643834054470062,65.559891782901,6.1531253,2.8364508,10.341692393753801,4.319044231551738,6.37685978342842,0.318842989171421,22963093588.1878,10582070777.96673,3626944631.9152713,739773634.9737979,82759716602.16005,36584639353.68442,84.86361829037945,20.13701473152339,66.20318225968336,19.86529145024601,66.20318225968336,19.86529145024601,91.68124947251908,23.86979495123077,50.10924053025357,14.594745053421107,51.526456111733886,17.021568044185173,51.526456111733886,17.021568044185173,66.835,23.9034569257252,1.524,0.1539672796694099,0.4561861471044889
KROSS,S-zvvd_z1_475,S-zvvd_z1_475,0.901271986818569,0.643834054470062,45.2064969726342,3.2928438,1.517926,11.539131453034646,4.829993694729193,20.542639760917844,1.0271319880458922,52605390475.7134,24242115426.59604,8208990715.700073,1674355557.5075753,735144132382.938,133814266864.4284,94.490017883335,24.153876035414736,113.3780076627572,17.428914074047178,133.06616417666524,27.83680879829064,147.10179662458634,30.01770326763837,39.7933457614422,6.456048656677812,99.52630424826096,15.50399279638583,126.38962055027528,28.27506367961986,146.562,30.03470353441031,4.85,0.1700074708889168,0.4354465456126288
KROSS,U-HiZ_z1_132,U-HiZ_z1_132,0.841548602708507,0.695785999298096,30.1531394306227,2.4271846,0.94784594,11.858398158982872,4.969594818178891,8.383939175811197,0.4191969587905597,22752561881.1943,10485051558.154057,4162117441.330076,848930728.5440034,81485808731.71965,36249220814.25441,119.21537863383426,20.30575743627283,127.97860103037328,14.972991906955702,125.73398509234823,13.030389331787733,147.66676770529398,26.56920602114211,101.47881970655892,17.18225515235208,110.32071458828426,12.108566252856866,118.93881927823354,11.685354747579032,139.3743318085855,26.581558118364693,4.867,0.4628861308663095,0.2671814374756076
KROSS,U-HiZ_z1_139,U-HiZ_z1_139,0.841690919495188,0.817840039730072,59.1169711417439,1.8334421,0.715982,8.321508382020964,3.4885195371022384,14.4201187330088,0.7210059366504399,10790225303.8925,4972454057.093318,4546269640.851368,927284742.1460736,33751043890.369534,21479011017.50927,127.11288288484089,20.606557945957764,129.87325639590566,23.78613267694701,128.77342593266323,25.61135085430289,132.03897169690973,25.80712367636121,90.69515926700431,9.131467373799884,79.54531717044101,18.46589732188324,70.71686707675921,24.35569511947334,92.275,24.552387398068184,1.669,0.6599531850739452,0.1707898095511706
KROSS,U-HiZ_z1_204,U-HiZ_z1_204,0.839484701952211,0.890071988105774,56.2311952535185,1.8285182,0.7140592,8.029080936534504,3.3350233666321003,11.58378780164886,0.5791893900824429,11092515006.0023,5111758067.282166,4091020681.735908,834429402.0508933,34511233347.12462,21764955578.465405,154.4599326306971,22.978795245510387,147.96952844462,22.037575507461707,141.63255130480616,22.78870103210821,154.7736911112118,40.9979035601604,121.69460592168603,19.87189445000561,105.09629158695051,20.559580089521678,88.8286729082062,22.99171099980603,132.88899999999998,46.78909322196467,2.213,0.712241134854279,0.1413761073685557
KROSS,U-HiZ_z1_205,U-HiZ_z1_205,0.843690839132232,0.890071988105774,50.2066939605874,2.4331105,0.9501601,15.311419259497278,6.436351520731055,6.7245516554668425,0.3362275827733421,29718706929.8315,13695256649.691938,3980881483.721663,811964742.91297,136144036189.09433,49164930736.70454,161.63754870631922,54.99141878536417,183.2250890487384,32.420409797600136,194.0251110919677,48.167815553738485,227.81385636012607,85.53031503883177,161.56823984678053,55.00424136214224,183.08276108246915,32.42690051331393,190.9627524919456,48.98402428446734,227.78,85.54198261087944,91.699,0.7116351206522176,0.1598364374446127
KROSS,U-HiZ_z1_208,U-HiZ_z1_208,0.836158015027448,0.890071988105774,66.4496732309612,4.9710264,1.941248,16.387056181209125,6.820511080377198,12.883158362895957,0.6441579181447978,9661180065.80254,4452156712.351401,4165600062.213074,849641065.0314095,31056875573.94056,20443837546.549072,141.53771056409565,25.60816067558406,166.46642645806233,27.21274784595863,197.455992032158,41.99146593831352,203.91676441925748,45.08090346785313,70.15689566774435,21.146468062692616,112.59697194944998,29.936821876071928,189.16333661947132,42.84084239669093,203.23,45.1627338964328,3.362,0.9494121701504274,0.0246078142023047
KROSS,U-HiZ_z1_31,U-HiZ_z1_31,0.835747551243873,0.465013980865479,68.8477324352202,2.957641,1.1549958,14.729098979503652,6.114701327940628,18.94655503651644,0.9473277518258216,6095792477.03297,2809120957.158051,4512513141.129983,920399561.6326634,23881706642.57402,17491218179.613388,84.06003943025051,20.15814507334577,103.58302345596032,18.94392536219722,125.86251428665132,20.027740266354066,168.51259119783205,43.52016855027989,35.83411908115817,12.13245850109613,71.51267798943881,15.106295910536184,104.83596849175154,18.771025992512595,154.93837645616185,44.52264738310156,3.712,0.869653462776202,0.0612982054627596
