Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),Re,Re_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err,VRout,VRout_err,Rgas,Rgas_err
C-zcos_z1_493,0.031614453,1.273643872,0.034149399,4.303485,1.2910455,4102324861,1890472286,6425781113,1871419635,973414148,295544209.6,7720421930,1912254811,11822746791,8742653147,55.11482529,14.88500107,18.77776381,1.078658017
C-zcos_z1_593,0.037284033,1.730308149,0.02711096,3.7753708,1.1326113,4797666775,2210906348,6699474300,1905536252,1002501797,297109257.1,8032801690,1946077113,12830468465,9356468857,180.92629,18.3940881,53.74129774,1.077028717
C-zcos_z1_642,0.016829336,1.089702201,0.017266199,3.0503702,0.9151111,9484839655,4370893850,12725004394,3913347205,1840239093,588854297.7,15172522387,3990946170,24657362043,17893228297,98.29426625,22.46287689,12.29425455,1.040034684
C-zcos_z1_644,0.039008851,1.146031517,0.042326078,4.3298044,1.2989414,11403293430,5254973931,13394683490,3926896223,1920110842,585507296.2,15948430910,4003364349,27351724340,19605803976,158.0897819,22.8228276,13.99688895,1.098172671
C-zcos_z1_659,0.022727999,1.179812309,0.023867744,3.1556273,0.94668823,8974912159,4135904221,11162054193,3351123973,1607756925,502157071.7,13300370903,3417028059,22275283062,16045214689,119.9581981,14.08410701,15.12907268,1.055111229
C-zcos_z1_660,0.061622932,1.699198317,0.047520214,5.4115973,1.6234792,15032457904,6927399956,16571834694,4895222237,2339477258,718364878.6,19683339446,4987588418,34715797350,24767087887,155.4635613,33.53476655,50.02629235,1.134041152
C-zcos_z1_670,0.028911367,0.858436515,0.029828204,2.6539555,0.7961867,22337271401,10293673457,24539935529,7457642976,3416270659,1078616049,29083575506,7594366285,51420846907,36671624696,236.6003249,66.49681893,7.218326388,1.069966124
C-zcos_z1_673,0.046301749,1.291573385,0.052006026,5.733666,1.7200999,5164521033,2379963610,6614306807,1795488305,986809069.9,279081866.9,7926762870,1833453576,13091283903,9460752988,113.1900339,26.7081098,19.56921413,1.119858763
C-zcos_z1_675,0.014639842,1.011649238,0.014926055,4.441016,1.332305,21529330140,9921350295,24982569597,7802078456,3479522514,1128982540,29610334540,7945254619,51139664681,36609888936,242.5719624,51.4404075,10.27186347,1.034625009
C-zcos_z1_685,0.016322449,0.964913016,0.0171669,3.475418,1.0426255,15171554725,6991499873,17590400562,5223928703,2498577581,771515315,20913508746,5323752797,36085063471,25837006809,101.8922666,21.91319818,9.223866653,1.039309458
C-zcos_z1_690,0.019684254,1.138470666,0.020681314,3.250835,0.9752505,20942582871,9650959848,22312623942,6730924824,3100885631,971778642.1,26436801831,6853890596,47379384701,33726788586,159.7259321,46.49632989,13.75531899,1.047570041
C-zcos_z1_692,0.010511207,1.015059203,0.010572283,4.1659923,1.2497977,24045293968,11080780630,27789732606,8855491457,3835755469,1269468028,32891287379,9015009601,56936581347,40743256466,180.4907603,16.64213822,10.35283287,1.024570261
C-zcos_z1_693,0.03046168,1.058767887,0.032028361,4.155385,1.2466156,6998903764,3225301274,9133445304,2658223715,1340323048,406133718.2,10916074958,2712549321,17914978722,12967087043,128.2175568,40.17947383,11.44900874,1.074597255
C-zcos_z1_698,0.02116503,1.070918266,0.021854904,3.0274315,0.90822953,16635284825,7666029873,17819437924,5242889102,2503889123,765660652.6,21149610458,5340868788,37784895283,26907967663,122.3509087,38.57658089,11.7738437,1.050775901
C-zcos_z1_796,0.024402734,0.999151997,0.025231741,3.3286138,0.99858415,4064713663,1873139937,5493449140,1446327670,832834256.9,228598958.4,6601118701,1477938427,10665832365,7752203898,50.70937097,14.84526215,9.980493065,1.058808539
C-zcos_z1_925,0.014843657,1.029651966,0.01533424,3.7296395,1.118892,15171554725,6991499873,17640783105,5337469155,2493613179,784320016.1,20957288633,5438449206,36128843358,25872456776,154.5327326,25.8054407,10.70660957,1.035354362
E-zmus_z1_117,0.01707571,0.990412787,0.017583992,2.9573355,0.8872007,15596615395,7187380367,15381771711,4086898016,2188144801,604532509.4,18292004296,4165236704,33888619692,24038548895,74.12055557,13.77233735,9.781665031,1.040710474
E-zmus_z1_119,0.017390204,1.131258587,0.017382845,4.19094,1.257282,27354567188,12605791331,26628106120,7638638019,3685788961,1098236706,31530205438,7777036922,58884772627,41742378958,183.9100797,31.0809915,13.52877852,1.040846112
E-zmus_z1_12,0.014585619,1.166351825,0.015102122,3.91059,1.173177,62665781971,28878240540,60156958729,19494450502,7900828498,2654170028,70665060632,19811482178,1.33331E+11,94448668726,228.6645706,30.70039427,14.66735572,1.034770281
E-zmus_z1_122,0.016933783,1.203949204,0.017342886,4.9662123,1.4898638,38817742712,17888360697,38310060237,12120418127,5133731642,1684970614,45137923320,12325853541,83955666032,59533597832,108.8864004,25.64352911,15.99370952,1.040251576
E-zmus_z1_125,0.022493347,1.026642438,0.022950499,2.5132022,0.75396067,12619162838,5815282414,14509873504,4390396627,2051537096,645312882,17238417841,4473500117,29857580679,21363668234,144.7025503,24.88834404,10.63267252,1.053712139
E-zmus_z1_127,0.023412181,1.10377597,0.024366549,4.0246596,1.2073978,12275247849,5656796244,12570611709,3387593406,1798953476,504213601.9,14963219832,3453331570,27238467681,19354060491,79.29482344,18.47695956,12.69918852,1.05654896
E-zmus_z1_146,0.034097768,1.152507379,0.036697336,3.146733,0.9440199,32887446455,15155505279,29972122709,8536634743,4103204282,1213383465,35429384404,8687835358,68316830859,48340722105,140.7767809,33.63679964,14.20716351,1.084924451
E-zmus_z1_166,0.012343923,0.972795178,0.012480261,2.4559138,0.73677415,29176318343,13445307992,30175919300,9439775971,4106978558,1333620689,35638200783,9604969397,64814519126,46057995040,147.3699332,27.7750735,9.392802222,1.028992235
E-zmus_z1_176,0.020154834,1.030550938,0.020434763,3.3691907,1.0107572,9931856852,4576892559,13130542692,4087761517,1886240090,610837752.2,15639242011,4167710531,25571098863,18526404703,103.6995875,25.04526398,10.72879478,1.047839632
E-zmus_z1_189,0.021561198,1.038292846,0.02220168,3.1578732,0.947362,9226361812,4251779637,10562248874,2840289726,1542849609,431867120.7,12614238854,2897785684,21840600666,15628332418,98.94111711,19.93169232,10.92176547,1.051675017
E-zmus_z1_207,0.017875634,1.083846364,0.017905879,4.284553,1.2853659,28643778434,13199897896,23592383386,5994289652,3265876630,861900204.2,27935999304,6102915258,56579777738,40011074718,113.1779679,35.76590351,12.12959677,1.042055277
E-zmus_z1_208,0.025822619,0.902442197,0.026933077,1.635211,0.49056333,2296309280,1058207041,3513703696,861777284.6,550771784.5,141033768.1,4246230170,881954894.4,6542539450,4827370606,95.09138039,19.68410375,7.988076168,1.062620531
E-zmus_z1_21,0.020146656,1.086487561,0.021290272,3.1547704,0.9464311,31119339260,14340709336,26986565125,7303039499,3713269060,1043524637,31925212974,7433748609,63044552234,44582872265,141.5967963,40.56110826,12.20358866,1.048863181
E-zmus_z1_219,0.017011479,1.10709184,0.017338868,3.3533795,1.0060139,26365149855,12149838643,31424636457,10362654457,4296746642,1471044250,37139309492,10545731649,63504459347,45546124274,174.3555999,40.90876321,12.79651883,1.040339779
E-zmus_z1_24,0.044323604,1.492902367,0.048847599,3.9,1.1700001,13092728075,6033515242,13854774072,3717442242,1992253277,556074131.9,16504470930,3790297260,29597199005,21066966776,139.6757685,28.1910489,31.11016879,1.113246895
E-zmus_z1_35,0.021318646,1.268250583,0.021660672,3.724687,1.1174061,24267787453,11183312190,20631023854,5169790580,2883790946,750881151.9,24466465812,5265366109,48734253265,34460607324,219.6936459,24.71548087,18.54601399,1.050726518
E-zmus_z1_55,0.037854622,1.348247401,0.041684029,3.5452166,1.063565,11403293430,5254973931,12303765249,3377443725,1769236730,505218804.2,14656850101,3443636281,26060143530,18570362299,136.6934115,16.82951099,22.29704968,1.09590661
E-zmus_z1_70,0.048483883,1.256624148,0.054572232,2.591769,0.7775307,29446237975,13569694920,25306348912,6814010225,3484064663,974225028.7,29940154913,6936110136,59386392888,41993973462,68.50273117,18.2164278,18.05610816,1.126000871
E-zmus_z1_86,0.01851154,1.036229359,0.019308499,2.1174657,0.6352398,5984529201,2757847558,8856855949,2601867394,1322690694,404838786.2,10616034572,2656995826,16600563773,12186664014,104.5487087,22.94803842,10.86999537,1.044504229
E-zmus_z1_97,0.010018482,0.899818644,0.010080262,2.8215117,0.8464536,14894636360,6863887723,19894491181,6527842441,2795942610,953482149.7,23613094852,6649878482,38507731212,27918245661,117.7178545,23.80085007,7.939966024,1.023409333
E-zmvvd_z1_19,0.033626618,0.943312683,0.03579681,4.895118,1.4685354,15886584827,7321006833,16887834458,5016965460,2364665415,729997818,20032839461,5110047318,35919424288,25567523039,96.5668094,15.9292881,8.776324718,1.083211021
