Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
C-zcos_z1_659,1.1570843107150908,1.1798123093176174,1.2036800531624008,0.05776686929765542,0.07247874024264873,0.08705339058946786
C-zcos_z1_660,1.6375753850312613,1.6991983167546758,1.7467185308974147,0.013004721872165833,0.023381536266224856,0.034764382710428
C-zcos_z1_670,0.829525148044401,0.8584365154993807,0.8882647195007547,0.07571480019324038,0.08878991261766923,0.10173647317005485
C-zcos_z1_673,1.2452716366985583,1.291573385371115,1.3435794113006172,0.019135244899337076,0.026915664442843313,0.03464151437234546
C-zcos_z1_675,0.997009396547983,1.0116492381500604,1.0265752931781307,0.0751450943284816,0.08196961045570746,0.08885899716513967
C-zcos_z1_685,0.9485905672602003,0.9649130158331412,0.9820799155112271,0.07797200735288914,0.08770798537659727,0.09734213090035225
C-zcos_z1_690,1.1187864127074931,1.138470666396767,1.1591519801392367,0.0792451370761498,0.08825749614956219,0.09715487004156041
C-zcos_z1_692,1.0045479958520875,1.015059203197605,1.0256314858798008,0.0526968450180087,0.05957553057952351,0.06642993044938833
C-zcos_z1_693,1.0283062071241722,1.0587678868429087,1.0907962483050575,0.036797725443029956,0.051653293303022665,0.06642237897725738
C-zcos_z1_698,1.0497532361466102,1.070918266240274,1.0927731702412946,0.07928212638035245,0.0904694500470406,0.10134684603853475
C-zcos_z1_796,0.9747492632063791,0.9991519972252656,1.024383737991739,0.09608903084586506,0.10926668317790392,0.1224169997148688
C-zcos_z1_925,1.0148083092468843,1.0296519658572159,1.0449862059143138,0.09992355227966819,0.10998166105242169,0.11979032765929262
E-zmus_z1_117,0.9733370764387173,0.9904127865111299,1.0079967787871729,0.08870946758838646,0.0975042307251887,0.10636876626713451
E-zmus_z1_119,1.113868382894188,1.1312585870405534,1.1486414315589208,0.039314265417243074,0.04411698252045684,0.048850163169806185
E-zmus_z1_12,1.1517662062094,1.1663518248294382,1.1814539471610752,0.0433861460381282,0.04810094626439847,0.05283324774582095
E-zmus_z1_122,1.1870154214204598,1.20394920410906,1.2212920896559343,0.06288463338540559,0.06983486836991035,0.07680939141337079
E-zmus_z1_125,1.0041490915781492,1.026642438193777,1.0495929374553044,0.08214035653991503,0.09482186940585693,0.1071651024762359
E-zmus_z1_127,1.0803637894038178,1.1037759702955974,1.1281425189078715,0.049951105717841164,0.05743405213568262,0.06504314219541724
E-zmus_z1_146,1.1184096107803982,1.1525073787647218,1.1892047145449705,0.06628743583812474,0.08002002213609792,0.0936005267719681
E-zmus_z1_166,0.9604512546303773,0.9727951777789722,0.9852754385106369,0.08219426223080371,0.08736757099263387,0.0925515911036322
E-zmus_z1_176,1.0103961044963174,1.0305509381385567,1.0509857007230958,0.06651604432364452,0.07371464131362382,0.08082779812138621
E-zmus_z1_189,1.016731647995413,1.0382928464597831,1.0604945263935912,0.04141355240695662,0.05076180456749945,0.05996387214477649
E-zmus_z1_207,1.0659707293460001,1.0838463637533862,1.1017522429222575,0.024317525627728518,0.0274596383660046,0.030688374683213757
E-zmus_z1_208,0.8766195787434884,0.9024421973179498,0.9293752740087012,0.05828639523048071,0.06871040270982874,0.07911809694994767
E-zmus_z1_21,1.0663409049630974,1.0864875608310105,1.1077778329045709,0.055526770029853324,0.0654000917848466,0.07503901180362381
E-zmus_z1_219,1.090080360590379,1.1070918400657332,1.1244307082677105,0.07912243580860136,0.085844193756839,0.09256543746096177
E-zmus_z1_24,1.4485787629503648,1.4929023673885788,1.5417499664120051,-0.001803199969660794,0.007437692100732409,0.016440296235711003
E-zmus_z1_35,1.2469319367099592,1.2682505829673092,1.2899112553306067,0.04007624718826866,0.047349140669687734,0.05466952420227021
E-zmus_z1_55,1.310392779184775,1.3482474014074055,1.3899314307182942,0.02880674159452857,0.03969161933601329,0.05040126130238298
E-zmus_z1_70,1.2081402649842192,1.2566241475612019,1.3111963796703416,0.038317345244437334,0.0540533783524311,0.06953749125091616
E-zmus_z1_86,1.0177178187557447,1.0362293592452134,1.0555378583346706,0.0842006881374419,0.09451397617579935,0.10460937174869621
E-zmus_z1_97,0.8898001619888608,0.8998186440488418,0.9098989061261503,0.09299101911312009,0.09868113117610505,0.10437004792287834
E-zmvvd_z1_19,0.9096860650117432,0.9433126834378665,0.9791094935875584,0.09064626172754825,0.11305636808894665,0.13495153399361054
E-zmvvd_z1_58,0.8312701022554095,0.8531060693927329,0.87569185275177,0.07526173316212542,0.09008463841055148,0.10482049404718503
E-zmvvd_z1_73,1.1096074811592629,1.126488795796968,1.1439618977142596,0.06998689582164735,0.07838995861398856,0.08669033193180924
E-zmvvd_z1_77,0.9472880163623081,0.961200815884489,0.9756499860767627,0.09803973615357195,0.10824961731765406,0.11839169407029147
E-zmvvd_z1_83,0.9594114864293634,0.9821634250264715,1.0059147747789532,0.07279989690888918,0.0861777277800875,0.09952535431163423
S-CFHIZELS-SM14-104965,1.1666072788483515,1.1830270170300827,1.1998192141428674,0.07241590276186641,0.08169445042625537,0.09084346637079137
S-CFHIZELS-SM14-107086,1.3473308602469907,1.379332584608697,1.4134950660110552,0.03701166794619902,0.04473091946847542,0.052362382368927235
S-CFHIZELS-SM14-117442,1.1104782712794212,1.1240861245942353,1.1377361529942265,0.06127572985498947,0.06810492749235592,0.07488728981727474
S-CFHIZELS-SM14-118544,0.9973470152415704,1.0126984088291524,1.028464722971789,0.06754873786029039,0.07537067062111727,0.08307734516239798
S-CFHIZELS-SM14-138499,1.0538760095252848,1.0650350767241685,1.0763754703390034,0.06049365495481478,0.06421327378083824,0.06788423123960345
S-CFHIZELS-SM14-139428,1.2403569784267496,1.261426332451869,1.2830573031934887,0.04773401234094628,0.05411566022384025,0.06046731042385588
S-CFHIZELS-SM14-145965,1.115820888941117,1.1365770358353617,1.1579541685096781,0.049680477683473515,0.05821239852752731,0.0667312794623037
S-CFHIZELS-SM14-148830,1.2288670391547374,1.2522723939728038,1.2766538141938741,0.04080394692366831,0.04865004114777035,0.056348213109549815
S-CFHIZELS-SM14-159913,1.1333354463327472,1.1573993110572824,1.182410455519749,0.03353479846937885,0.04385421134776503,0.05414324130695724
S-CFHIZELS-SM14-164290,0.8011486872475594,0.8169572390954638,0.832914238106506,0.08669454700195071,0.0937796796055465,0.10088931694151529
