Names,Re,Re_err,VRe,VRe_lerr,VRe_uerr,VRopt,VRopt_lerr,VRopt_uerr,VRout,VRout_lerr,VRout_uerr,Vdisp,Vdisp_lerr,Vdisp_uerr,Rot2disp_int,Rot2disp_pgc
E-zmus_z1_117,2.9573355,0.8872007,62.459492781278875,16.677874480860222,16.677874480860222,61.72436645233601,16.421254488689854,16.421254488689854,74.12055557134404,13.772337354058216,13.772337354058216,22.625191358306783,13.831637213287514,13.831637213287514,3.77,3.775
E-zmus_z1_119,4.19094,1.257282,184.64982211358227,24.25334601149448,24.25334601149448,172.20683540764514,23.7273802697201,23.7273802697201,183.91007968825826,31.080991496187547,31.080991496187547,53.657,14.719967017626093,14.719967017626093,3.263,3.588
E-zmus_z1_12,3.91059,1.173177,191.9154723878969,26.435281801763804,26.435281801763804,215.76333559256386,21.82128094029993,21.82128094029993,228.6645706194184,30.700394265610065,30.700394265610065,57.50311300268882,13.831262632167752,13.831262632167752,4.051,4.089
E-zmus_z1_122,4.9662123,1.4898638,106.92433072825168,24.984200283279677,24.984200283279677,108.88640040215044,25.64352911070437,25.64352911070437,108.88640040215044,25.64352911070437,25.64352911070437,45.56585762388326,15.18127740013995,15.18127740013995,2.178,2.652
E-zmus_z1_125,2.5132022,0.75396067,140.31023290166925,34.82246645798734,34.82246645798734,146.9842367158057,23.864843522992683,23.864843522992683,144.70255029443027,24.888344044017607,24.888344044017607,33.09479703065121,14.043543534307856,14.043543534307856,4.11,4.516
E-zmus_z1_127,4.0246596,1.2073978,57.378052971112446,17.535919858981966,17.535919858981966,79.29482343658306,18.476959559225197,18.476959559225197,79.29482343658306,18.476959559225197,18.476959559225197,33.359,13.374863326404498,13.374863326404498,1.694,2.383
E-zmus_z1_146,3.146733,0.9440199,136.54664923083195,24.843296447239048,24.843296447239048,149.7147594170812,23.20906832723366,23.20906832723366,140.77678085702257,33.636799640101565,33.636799640101565,27.109356115555386,14.426067430176527,14.426067430176527,5.492,5.646
E-zmus_z1_166,2.4559138,0.73677415,146.02240711737696,22.497000318289228,22.497000318289228,143.42844508670268,27.57309550496734,27.57309550496734,147.3699332376143,27.775073500301712,27.775073500301712,51.1884407654697,12.954303879406257,12.954303879406257,3.06,3.253
E-zmus_z1_176,3.3691907,1.0107572,125.29266759017665,19.854864449218333,19.854864449218333,125.81899848413902,26.237898959761324,26.237898959761324,103.69958746225542,25.045263976751393,25.045263976751393,34.899450081627364,13.22612859078574,13.22612859078574,3.006,3.71
E-zmus_z1_189,3.1578732,0.947362,87.40372592606808,20.504717937783443,20.504717937783443,96.3506529983742,20.139345201841806,20.139345201841806,98.94111711009361,19.931692318759477,19.931692318759477,34.885,13.92755488231872,13.92755488231872,2.962,3.061
